dt,yaw_cmd,yaw_pos,pitch_cmd,pitch_pos
0.32,0.0,-2.1093435287475586,0.0,-4.482452392578125
0.32,-0.7681283950805664,-2.1093435287475586,0.0,-4.482452392578125
0.32,-0.7681283950805664,-2.1093435287475586,0.0,-4.482452392578125
0.32,-1.3619425296783447,-2.1972618103027344,0.0,-4.482452392578125
0.32,-1.765673279762268,-2.3730435371398926,0.0,-4.482452392578125
0.32,-1.765673279762268,-2.548825263977051,0.0,-4.482452392578125
0.32,-2.3821582794189453,-2.8124706745147705,0.0,-4.482452392578125
0.32,-2.7998273372650146,-3.427734136581421,0.0,-4.394561290740967
0.34,-2.7998273372650146,-4.482424736022949,0.0,-4.218779563903809
0.38,-3.4352495670318604,-5.009769916534424,0.0,-4.04299783706665
0.42,-3.8641045093536377,-5.361333847045898,0.0,-4.04299783706665
0.44,-4.296540260314941,-6.5917510986328125,0.0,-3.779325246810913
0.48,-4.513926029205322,-7.9101409912109375,0.0,-3.5156521797180176
0.52,-4.950661659240723,-8.701131820678711,0.0,-3.3398704528808594
0.54,-5.3894944190979,-10.195303916931152,0.0,-3.076197862625122
0.58,-5.609493255615234,-11.249994277954102,0.0,-2.8125252723693848
0.62,-6.050223350524902,-12.392548561096191,0.0,-2.4609618186950684
0.64,-6.491329193115234,-13.62302017211914,0.0,-2.197289228439331
0.68,-6.491329193115234,-14.765628814697266,0.0,-1.9336165189743042
0.72,-7.1520280838012695,-16.083965301513672,0.0,-1.757834792137146
0.76,-7.590680122375488,-17.753864288330078,0.0,-1.4062713384628296
0.78,-7.590680122375488,-19.687463760375977,0.0,-1.0547077655792236
0.8200000000000001,-8.243803977966309,-21.533201217651367,0.0,-0.7910351753234863
0.84,-8.674670219421387,-23.20309829711914,0.0,-0.5273625254631042
0.88,-8.888386726379395,-25.04880714416504,0.0,-0.17579905688762665
0.92,-9.311777114868164,-27.158187866210938,0.0,0.17576444149017334
0.9400000000000001,-9.728938102722168,-29.179677963256836,0.0,0.5273279547691345
0.98,-9.934860229492188,-31.025358200073242,0.0,0.8788914680480957
1.02,-10.340723991394043,-32.69528579711914,0.0,1.142564058303833
1.04,-10.340723991394043,-35.15623092651367,0.0,1.5820183753967285
1.08,-10.932515144348145,-37.1777229309082,0.0,1.9335819482803345
1.12,-11.314067840576172,-39.19918441772461,0.0,2.2851455211639404
1.1400000000000001,-11.314067840576172,-41.572265625,0.0,2.900381565093994
1.18,-11.864034652709961,-43.68161392211914,0.0,3.4277267456054688
1.22,-12.214035987854004,-45.70310974121094,0.0,3.691399097442627
1.24,-12.54930305480957,-48.60348129272461,0.0,4.218717098236084
1.28,-12.71102523803711,-50.976558685302734,0.0,4.6581711769104
1.32,-13.021869659423828,-53.34959030151367,0.0,5.009735107421875
1.34,-13.314864158630371,-56.24998474121094,0.0,5.53708028793335
1.3800000000000001,-13.45427131652832,-58.710906982421875,0.0,5.976534366607666
1.42,-13.718111991882324,-60.908206939697266,0.0,6.328097820281982
1.46,-13.960927963256836,-63.80857849121094,0.0,6.855443477630615
1.48,-13.960927963256836,-66.44530487060547,0.0,7.29489803314209
